file,tutorialEnglish,sectionEnglish,tutorialId,sectionId,tutorialTitleKr,sectionTitle,originalFile
001_Layer-Normalization-Stabilizing-Training__Mathematics-and-Effects-of-Layer-Normalization.ipynb,Layer Normalization: Stabilizing Training,Mathematics-and-Effects-of-Layer-Normalization,adv-1-1,adv-1-1-1,레이어 정규화: 훈련 안정화,레이어 정규화의 수학과 효과,001_adv-1-1_adv-1-1-1_레이어_정규화-_훈련_안정화_-_레이어_정규화의_수학과_효과.ipynb
002_Positional-Embeddings-Encoding-Sequence-Order__Absolute-vs-Relative-Positional-Embeddings.ipynb,Positional Embeddings: Encoding Sequence Order,Absolute-vs-Relative-Positional-Embeddings,adv-2-1,adv-2-1-1,위치 임베딩: 시퀀스 순서 인코딩,절대 위치 vs 상대 위치 임베딩,002_adv-2-1_adv-2-1-1_위치_임베딩-_시퀀스_순서_인코딩_-_절대_위치_vs_상대_위치_임베딩.ipynb
003_Gradient-Flow-in-Transformers__Residual-Connections-and-Gradient-Highways.ipynb,Gradient Flow in Transformers,Residual-Connections-and-Gradient-Highways,adv-3-1,adv-3-1-1,트랜스포머의 그래디언트 흐름,잔차 연결과 그래디언트 고속도로,003_adv-3-1_adv-3-1-1_트랜스포머의_그래디언트_흐름_-_잔차_연결과_그래디언트_고속도로.ipynb
004_KV-Cache-Efficient-Autoregressive-Inference__Accelerating-Inference-with-KV-Cache.ipynb,KV Cache: Efficient Autoregressive Inference,Accelerating-Inference-with-KV-Cache,adv-4-1,adv-4-1-1,KV 캐시: 효율적인 자기회귀 추론,KV 캐시로 추론 가속화,004_adv-4-1_adv-4-1-1_KV_캐시-_효율적인_자기회귀_추론_-_KV_캐시로_추론_가속화.ipynb
005_Weight-Initialization-Strategies__Xavier-He-and-GPT2-Initialization.ipynb,Weight Initialization Strategies,Xavier-He-and-GPT2-Initialization,adv-6-1,adv-6-1-1,가중치 초기화 전략,"Xavier, He, GPT-2 초기화","005_adv-6-1_adv-6-1-1_가중치_초기화_전략_-_Xavier,_He,_GPT-2_초기화.ipynb"
006_Factored-Form-and-Skip-Trigram-Bugs__Limits-and-Bugs-of-Factored-Forms.ipynb,Factored Form and Skip-Trigram Bugs,Limits-and-Bugs-of-Factored-Forms,adv-7-1,adv-7-1-1,인수 분해 형태와 스킵-트라이그램 버그,인수 분해의 한계와 버그,006_adv-7-1_adv-7-1-1_인수_분해_형태와_스킵-트라이그램_버그_-_인수_분해의_한계와_버그.ipynb
007_Activation-Functions-GELU-SwiGLU-and-Beyond__Modern-Activation-Function-Comparison.ipynb,"Activation Functions: GELU, SwiGLU, and Beyond",Modern-Activation-Function-Comparison,adv-8-1,adv-8-1-1,"활성화 함수: GELU, SwiGLU 등",현대 활성화 함수 비교,"007_adv-8-1_adv-8-1-1_활성화_함수-_GELU,_SwiGLU_등_-_현대_활성화_함수_비교.ipynb"
008_Term-Importance-Analysis__Pathwise-Contribution-Measurement.ipynb,Term Importance Analysis,Pathwise-Contribution-Measurement,adv-5-1,adv-5-1-1,항 중요도 분석,경로별 기여도 측정,008_adv-5-1_adv-5-1-1_항_중요도_분석_-_경로별_기여도_측정.ipynb
009_Tokenization-BPE-and-SentencePiece__BPE-Tokenization-Algorithm.ipynb,Tokenization: BPE and SentencePiece,BPE-Tokenization-Algorithm,adv-9-1,adv-9-1-1,토큰화: BPE와 SentencePiece,BPE 토큰화 알고리즘,009_adv-9-1_adv-9-1-1_토큰화-_BPE와_SentencePiece_-_BPE_토큰화_알고리즘.ipynb
010_Scaling-Laws-Predicting-Model-Performance__Principles-of-Scaling-Laws.ipynb,Scaling Laws: Predicting Model Performance,Principles-of-Scaling-Laws,adv-10-1,adv-10-1-1,스케일링 법칙: 모델 성능 예측,스케일링 법칙의 원리,010_adv-10-1_adv-10-1-1_스케일링_법칙-_모델_성능_예측_-_스케일링_법칙의_원리.ipynb
011_Attention__Practice-Code-1-Self-Attention-Implementation-PyTorch.ipynb,Attention 메커니즘 완전 정복,Practice-Code-1-Self-Attention-Implementation-PyTorch,expand-attention-mechanism,expand-attention-mechanism-code-1,Attention 메커니즘 완전 정복,실습 코드 1: Self-Attention 구현 (PyTorch),011_expand-attention-mechanism_expand-attention-mechanism-code-1_Attention_메커니즘_완전_정복_-_실습_코드_1-_Self-Attention_구현_(PyTorch).ipynb
012_Transformer__Practice-Code-1-Transformer-Encoder-Block-PyTorch.ipynb,Transformer 아키텍처 완전 해부,Practice-Code-1-Transformer-Encoder-Block-PyTorch,expand-transformer-architecture,expand-transformer-architecture-code-1,Transformer 아키텍처 완전 해부,실습 코드 1: Transformer Encoder Block (PyTorch),012_expand-transformer-architecture_expand-transformer-architecture-code-1_Transformer_아키텍처_완전_해부_-_실습_코드_1-_Transformer_Encoder_Block_(PyTorch).ipynb
013_Positional-Encoding-Analysis__Practice-Code-1-RoPE-Implementation-PyTorch.ipynb,Positional Encoding 심층 분석,Practice-Code-1-RoPE-Implementation-PyTorch,expand-positional-encoding,expand-positional-encoding-code-1,Positional Encoding 심층 분석,실습 코드 1: RoPE 구현 (PyTorch),013_expand-positional-encoding_expand-positional-encoding-code-1_Positional_Encoding_심층_분석_-_실습_코드_1-_RoPE_구현_(PyTorch).ipynb
014_Positional-Encoding-Analysis__Practice-Code-2-Sinusoidal-vs-Learned-vs-RoPE-Positional-Encoding-Comparison-Exp.ipynb,Positional Encoding 심층 분석,Practice-Code-2-Sinusoidal-vs-Learned-vs-RoPE-Positional-Encoding-Comparison-Experiment,expand-positional-encoding,expand-positional-encoding-code-2,Positional Encoding 심층 분석,실습 코드 2: Sinusoidal vs Learned vs RoPE 위치 인코딩 비교 실험,014_expand-positional-encoding_expand-positional-encoding-code-2_Positional_Encoding_심층_분석_-_실습_코드_2-_Sinusoidal_vs_Learned_vs_RoPE_위치_인코딩_비교_실험.ipynb
